Num.,Date and Time,Temp. (°C),Rel. Humidity (%)
4739,2018-04-19 10:50:42,26.59,37.91
4740,2018-04-19 10:55:29,26.81,37.79
4741,2018-04-19 11:00:24,26.93,37.21
4742,2018-04-19 11:05:18,27.12,37.01
4743,2018-04-19 11:10:13,27.32,36.53
4744,2018-04-19 11:15:08,27.45,36.02
4745,2018-04-19 11:20:04,27.49,36.39
4746,2018-04-19 11:25:32,27.46,36.39
4747,2018-04-19 11:30:27,27.42,35.98
4748,2018-04-19 11:35:23,27.35,35.75
4749,2018-04-19 11:40:18,27.39,35.58
4750,2018-04-19 11:45:13,27.57,35.08
4751,2018-04-19 11:50:08,27.83,34.57
4752,2018-04-19 11:55:04,27.99,34.07
4753,2018-04-19 12:00:32,28.18,33.28
4754,2018-04-19 12:05:28,28.3,32.96
4755,2018-04-19 12:10:24,28.33,32.7
4756,2018-04-19 12:15:20,28.29,32.56
4757,2018-04-19 12:20:16,28.29,32.17
4758,2018-04-19 12:25:13,28.36,31.76
4759,2018-04-19 12:30:09,28.49,31.52
4760,2018-04-19 12:35:06,28.61,31.3
4761,2018-04-19 12:40:03,28.72,31.35
4762,2018-04-19 12:45:01,28.76,31.43
4763,2018-04-19 12:50:31,28.69,31.94
4764,2018-04-19 12:55:29,28.56,32.27
4765,2018-04-19 13:00:26,28.49,32.45
4766,2018-04-19 13:05:24,28.5,32.43
4767,2018-04-19 13:10:22,28.49,32.28
4768,2018-04-19 13:15:20,28.37,32.6
4769,2018-04-19 13:20:18,28.17,32.81
4770,2018-04-19 13:25:16,28.05,32.73
4771,2018-04-19 13:30:14,28.18,32.6
4772,2018-04-19 13:35:12,28.28,32.47
4773,2018-04-19 13:40:10,28.46,32.21
4774,2018-04-19 13:45:08,28.6,31.87
4775,2018-04-19 13:50:06,28.84,31.93
4776,2018-04-19 13:55:04,28.89,32.06
4777,2018-04-19 14:00:02,28.84,32.2
4778,2018-04-19 14:05:00,28.76,32.35
4779,2018-04-19 14:10:31,28.69,32.21
4780,2018-04-19 14:15:29,28.67,32.21
4781,2018-04-19 14:20:27,28.6,32.46
4782,2018-04-19 14:25:25,28.45,32.77
4783,2018-04-19 14:30:23,28.33,32.76
4784,2018-04-19 14:35:21,28.41,32.47
4785,2018-04-19 14:40:19,28.6,32.52
4786,2018-04-19 14:45:17,28.72,32.47
4787,2018-04-19 14:50:15,28.77,32.19
4788,2018-04-19 14:55:13,28.77,32.23
4789,2018-04-19 15:00:12,28.73,32.46
4790,2018-04-19 15:05:10,28.66,32.58
4791,2018-04-19 15:10:08,28.63,32.39
4792,2018-04-19 15:15:05,28.62,32.17
4793,2018-04-19 15:20:04,28.64,32.37
4794,2018-04-19 15:25:01,28.63,32.7
4795,2018-04-19 15:30:32,28.64,32.71
4796,2018-04-19 15:35:29,28.57,32.36
4797,2018-04-19 15:40:27,28.45,32.39
4798,2018-04-19 15:45:24,28.24,32.74
4799,2018-04-19 15:50:25,28.08,33.16
4800,2018-04-19 15:55:29,28.08,33.16
4802,2018-04-19 16:05:24,27.93,33.01
4803,2018-04-19 16:10:22,27.93,33.01
4805,2018-04-19 16:20:16,28.97,30.64
4806,2018-04-19 16:25:14,28.97,30.64
4807,2018-04-19 16:30:12,30.45,28.39
4808,2018-04-19 16:35:09,30.45,28.39
4809,2018-04-19 16:40:07,32.88,26.76
4810,2018-04-19 16:45:04,32.88,26.76
4812,2018-04-19 16:55:32,35.92,25.14
4813,2018-04-19 17:00:29,35.92,25.14
4814,2018-04-19 17:05:27,38.18,26.12
4815,2018-04-19 17:10:24,39.46,26.34
4816,2018-04-19 17:15:22,40.29,23.93
4817,2018-04-19 17:20:20,38.81,23.62
4818,2018-04-19 17:25:17,36.23,24.76
4819,2018-04-19 17:30:15,34.47,25.87
4820,2018-04-19 17:35:12,33.29,26.96
4821,2018-04-19 17:40:10,32.26,28.32
4822,2018-04-19 17:45:11,31.32,29.74
4823,2018-04-19 17:50:08,30.38,31.33
4824,2018-04-19 17:55:06,29.42,33.13
4825,2018-04-19 18:00:05,28.58,34.52
4826,2018-04-19 18:05:04,27.85,35.56
4827,2018-04-19 18:10:01,27.23,36.19
4828,2018-04-19 18:15:32,26.67,36.95
4829,2018-04-19 18:20:29,26.18,37.79
4830,2018-04-19 18:25:27,25.69,38.64
4831,2018-04-19 18:30:24,25.19,39.86
4832,2018-04-19 18:35:21,24.72,40.78
4833,2018-04-19 18:40:19,24.27,41.57
4834,2018-04-19 18:45:17,23.84,42.3
4835,2018-04-19 18:50:14,23.44,43.19
4836,2018-04-19 18:55:17,23.05,44.15
4837,2018-04-19 19:00:16,22.66,44.96
4838,2018-04-19 19:05:15,22.27,46.0
4839,2018-04-19 19:10:13,21.86,47.08
4840,2018-04-19 19:15:12,21.44,47.94
4841,2018-04-19 19:20:11,21.06,48.73
4842,2018-04-19 19:25:09,20.75,49.76
4843,2018-04-19 19:30:08,20.52,50.85
4844,2018-04-19 19:35:07,20.36,51.75
4845,2018-04-19 19:40:06,20.18,52.71
4846,2018-04-19 19:45:04,19.96,54.58
4847,2018-04-19 19:50:02,19.73,56.7
4848,2018-04-19 19:55:01,19.6,57.38
4849,2018-04-19 20:00:32,19.53,57.71
4850,2018-04-19 20:05:29,19.45,58.31
4851,2018-04-19 20:10:27,19.4,59.12
4852,2018-04-19 20:15:25,19.39,60.07
4853,2018-04-19 20:20:23,19.39,61.07
4854,2018-04-19 20:25:21,19.38,61.94
4855,2018-04-19 20:30:20,19.35,62.67
4856,2018-04-19 20:35:19,19.32,63.41
4857,2018-04-19 20:40:17,19.27,64.23
4858,2018-04-19 20:45:15,19.21,65.09
4859,2018-04-19 20:50:13,19.14,65.7
4860,2018-04-19 20:55:11,19.05,66.25
4861,2018-04-19 21:00:09,18.98,66.85
4862,2018-04-19 21:05:07,18.9,67.56
4863,2018-04-19 21:10:05,18.83,68.2
4864,2018-04-19 21:15:03,18.74,68.73
4865,2018-04-19 21:20:01,18.66,69.32
4866,2018-04-19 21:25:00,18.59,70.13
4867,2018-04-19 21:30:31,18.51,71.25
4868,2018-04-19 21:35:29,18.45,72.56
4869,2018-04-19 21:40:27,18.42,73.9
4870,2018-04-19 21:45:26,18.39,75.27
4871,2018-04-19 21:50:24,18.35,76.5
4872,2018-04-19 21:55:01,18.3,77.65
4873,2018-04-19 22:00:03,18.24,78.71
4874,2018-04-19 22:05:01,18.19,79.7
4875,2018-04-19 22:10:32,18.12,80.67
4876,2018-04-19 22:15:30,18.06,81.54
4877,2018-04-19 22:20:28,17.99,82.25
4878,2018-04-19 22:25:26,17.93,82.92
4879,2018-04-19 22:30:24,17.86,83.55
4880,2018-04-19 22:35:22,17.8,84.14
4881,2018-04-19 22:40:20,17.74,84.66
4882,2018-04-19 22:45:18,17.67,85.09
4883,2018-04-19 22:50:17,17.62,85.49
4884,2018-04-19 22:55:15,17.56,85.85
4885,2018-04-19 23:00:13,17.5,86.17
4886,2018-04-19 23:05:11,17.44,86.4
4887,2018-04-19 23:10:09,17.4,86.57
4888,2018-04-19 23:15:07,17.35,86.85
4889,2018-04-19 23:20:05,17.31,87.08
4890,2018-04-19 23:25:03,17.25,87.27
4891,2018-04-19 23:30:01,17.21,87.4
4892,2018-04-19 23:35:32,17.16,87.5
4893,2018-04-19 23:40:30,17.12,87.73
4894,2018-04-19 23:45:27,17.05,87.91
4895,2018-04-19 23:50:25,17.01,87.97
4896,2018-04-19 23:55:22,17.01,87.97
